lon	lat	s-max		s-max-t	s-min		s-min-t	shear		shear-t
47.457	34.979	1.40E-09	95.85	-9.18E-09	5.85	1.06E-08	320.85
48.551	35.006	3.24E-09	88.76	-1.21E-08	358.76	1.53E-08	313.76
49.647	35.023	5.40E-09	97.7	-1.02E-08	7.7	1.56E-08	322.7
50.743	35.031	6.50E-09	112.99	-1.06E-08	22.99	1.71E-08	337.99
51.839	35.028	9.97E-09	119.85	-1.90E-08	29.85	2.90E-08	344.85
52.935	35.016	1.31E-08	114.32	-2.36E-08	24.32	3.67E-08	339.32
54.030	34.993	9.88E-09	110.44	-2.18E-08	20.44	3.17E-08	335.44
55.123	34.961	7.41E-09	91.19	-8.62E-09	1.19	1.60E-08	316.19
56.215	34.919	-2.00E-11	127.9	-1.07E-08	37.9	1.07E-08	352.9
57.304	34.867	1.15E-09	114.7	-1.38E-08	24.7	1.49E-08	339.7
58.390	34.806	6.40E-09	117.13	-2.07E-08	27.13	2.71E-08	342.13
59.472	34.735	1.01E-08	119.83	-1.96E-08	29.83	2.96E-08	344.83
60.550	34.654	1.02E-08	123.87	-1.12E-08	33.87	2.14E-08	348.87
61.624	34.565	4.53E-09	112.59	-4.71E-10	22.59	5.00E-09	337.59
46.313	35.841	1.66E-08	89.87	-6.68E-09	359.87	2.33E-08	314.87
47.418	35.879	1.29E-08	93.69	-7.38E-09	3.69	2.03E-08	318.69
48.524	35.907	-5.40E-10	84.68	-6.90E-09	354.68	6.36E-09	309.68
49.632	35.925	-6.05E-11	102.56	-6.28E-09	12.56	6.22E-09	327.56
50.740	35.932	5.82E-09	120.74	-1.76E-08	30.74	2.34E-08	345.74
51.849	35.930	1.16E-08	123.49	-2.61E-08	33.49	3.76E-08	348.49
52.957	35.917	1.51E-08	121.35	-2.65E-08	31.35	4.17E-08	346.35
54.064	35.894	2.03E-08	113.8	-2.70E-08	23.8	4.74E-08	338.8
55.170	35.860	1.86E-08	105.18	-1.73E-08	15.18	3.59E-08	330.18
56.273	35.817	8.26E-09	121.11	-1.75E-08	31.11	2.57E-08	346.11
57.374	35.763	3.28E-09	118.96	-1.55E-08	28.96	1.88E-08	343.96
58.472	35.700	4.02E-09	119.7	-1.64E-08	29.7	2.04E-08	344.7
59.566	35.626	5.79E-09	116.5	-1.32E-08	26.5	1.90E-08	341.5
60.656	35.543	2.80E-09	128.69	-1.04E-08	38.69	1.32E-08	353.69
61.741	35.451	-5.90E-10	131.32	-1.16E-08	41.32	1.10E-08	356.32
46.259	36.740	1.82E-08	71.59	-1.47E-08	341.59	3.29E-08	296.59
47.376	36.779	1.83E-08	74.95	-5.64E-09	344.95	2.40E-08	299.95
48.495	36.808	8.39E-09	40.07	-4.86E-09	130.07	1.33E-08	85.07
49.616	36.826	7.73E-09	15.73	-6.19E-09	105.73	1.39E-08	60.73
50.737	36.834	3.21E-09	133.37	-2.05E-08	43.37	2.37E-08	358.37
51.859	36.831	9.26E-09	127.26	-2.92E-08	37.26	3.85E-08	352.26
52.980	36.818	1.41E-08	124.77	-2.46E-08	34.77	3.87E-08	349.77
54.099	36.794	1.93E-08	108.83	-2.48E-08	18.83	4.41E-08	333.83
55.218	36.759	2.05E-08	104.35	-2.19E-08	14.35	4.24E-08	329.35
56.334	36.714	2.01E-08	116.99	-2.34E-08	26.99	4.35E-08	341.99
57.447	36.659	1.21E-08	117.11	-2.42E-08	27.11	3.63E-08	342.11
58.557	36.594	6.42E-09	115.4	-2.18E-08	25.4	2.82E-08	340.4
59.664	36.518	1.73E-09	119.04	-1.65E-08	29.04	1.82E-08	344.04
60.766	36.432	-2.50E-09	316.05	-1.66E-08	46.05	1.41E-08	1.05
45.074	37.586	2.46E-08	69.3	-2.43E-08	339.3	4.89E-08	294.3
46.202	37.638	1.97E-08	66.89	-2.38E-08	336.89	4.35E-08	291.89
47.333	37.678	2.35E-08	64.12	-1.64E-08	334.12	3.99E-08	289.12
48.465	37.708	1.89E-08	52.68	-9.94E-09	322.68	2.88E-08	277.68
49.599	37.727	1.41E-08	32.71	-1.49E-08	122.71	2.90E-08	77.71
56.398	37.612	2.82E-08	116.9	-3.12E-08	26.9	5.94E-08	341.9
57.524	37.555	2.37E-08	119.27	-3.64E-08	29.27	6.01E-08	344.27
58.647	37.487	1.39E-08	118.91	-3.77E-08	28.91	5.16E-08	343.91
59.766	37.409	3.72E-09	119.24	-3.46E-08	29.24	3.83E-08	344.24
45.001	38.483	2.45E-08	71.78	-2.37E-08	341.78	4.81E-08	296.78
46.143	38.536	1.80E-08	66.55	-2.23E-08	336.55	4.03E-08	291.55
47.287	38.578	2.26E-08	57.83	-1.64E-08	327.83	3.90E-08	282.83
48.434	38.609	2.33E-08	52.52	-9.29E-09	322.52	3.26E-08	277.52
49.582	38.628	1.82E-08	36.18	-1.64E-08	126.18	3.46E-08	81.18
44.925	39.379	1.70E-08	70.37	-1.82E-08	340.37	3.52E-08	295.37
46.081	39.434	1.46E-08	61.24	-1.22E-08	331.24	2.68E-08	286.24
47.240	39.477	2.58E-08	49.91	-8.54E-09	319.91	3.44E-08	274.91
48.401	39.509	2.99E-08	43.41	-5.54E-09	133.41	3.54E-08	88.41
