 47.667	 32.740	  9.000	  0.765
 47.754	 32.681	 10.600	  2.354
 47.615	 32.741	  8.900	  3.377
 47.601	 32.784	  7.800	  0.785
 47.680	 32.703	  9.800	  0.442
 47.540	 32.716	 11.500	  1.616
 47.521	 32.762	  8.800	  0.987
 47.542	 32.710	 11.700	  0.166
 47.552	 32.803	  8.500	  1.270
 47.767	 32.696	  9.400	  0.785
 47.753	 32.766	 13.700	  0.291
 47.474	 32.721	 14.400	  0.502
 47.478	 32.720	 15.200	  0.815
 47.594	 32.805	  9.800	  1.324
 47.757	 32.698	  9.900	  1.962
 47.506	 32.754	 10.900	  3.308
 47.576	 32.757	  9.200	  1.275
 47.659	 32.755	  9.000	  2.651
 47.525	 32.729	 11.900	  2.891
 47.718	 32.667	 10.800	  1.426
 47.593	 32.689	 10.200	  0.585
 47.521	 32.726	 12.100	  1.240
 47.468	 32.709	 14.100	  1.618
 47.468	 32.711	 14.500	  1.921
 47.524	 32.726	 14.200	  0.370
 47.642	 32.755	  9.000	  3.020
 47.588	 32.807	  7.400	  1.426
 47.650	 32.755	  9.400	  0.546
 47.596	 32.809	  7.700	  1.239
 47.811	 32.685	 11.100	  0.710
 47.641	 32.753	  9.100	  0.922
 47.532	 32.776	  8.600	  2.654
 47.259	 32.751	 13.300	  1.302
 47.709	 32.656	 10.500	  0.430
 47.729	 32.668	 10.800	  2.904
 47.624	 32.692	 10.600	  2.059
 47.640	 32.758	  8.500	  3.189
 47.524	 32.761	  8.600	  1.705
 47.651	 32.762	  8.800	  1.180
 47.493	 32.756	 12.300	  1.011
 47.521	 32.748	 10.800	  1.914
 47.566	 32.754	  8.700	  3.214
 47.588	 32.719	  9.500	  0.709
 47.594	 32.778	  7.900	  0.578
 47.677	 32.820	  8.000	  0.494
 47.715	 32.717	 10.000	  0.502
 47.721	 32.681	 10.500	  2.782
 47.635	 32.704	  9.200	  0.865
 47.591	 32.685	 11.000	  0.280
 47.642	 32.757	  8.700	  0.870
 47.546	 32.746	 11.100	  0.659
 47.555	 32.793	  6.000	  0.395
 47.722	 32.669	 10.900	  0.712
 47.797	 32.790	  9.600	  0.395
 47.752	 32.704	 11.400	  1.038
 47.557	 32.768	  7.200	  1.921
 47.571	 32.707	  6.000	  1.235
 47.470	 32.747	 11.300	  0.129
 47.526	 32.759	  6.800	  2.004
 47.546	 32.718	 12.300	  0.500
 47.528	 32.720	 13.100	  2.779
 47.527	 32.722	 12.000	  2.660
 47.816	 32.672	 12.000	  1.683
 47.542	 32.754	  8.700	  0.390
 47.735	 32.757	  9.000	  0.614
 47.587	 32.713	  9.900	  1.416
 47.630	 32.702	 11.100	  0.539
 47.658	 32.692	 11.200	  0.938
 47.568	 32.704	 10.400	  1.953
