     LON     LAT   DEPTH     MAG    PHUSD   NO_ST   MIND     GAP     RMS     SEH     SEZ  YYYY MM DD HH MN SEC
  47.825  32.671    11.7     0.0      99      99    99.0     360   0.162     0.4     0.3  2014 08 24 03 00 24.89
  47.518  32.724    12.1     0.0      99      99    99.0     360   0.106     0.4     0.6  2014 08 24 04 37 08.10
  47.734  32.680     9.9     0.0      99      99    99.0     360   0.168     1.0     1.1  2014 08 24 04 54 59.03
  47.506  32.723    10.0     0.0      99      99    99.0     360   0.177     0.5     0.6  2014 08 24 05 25 16.05
  47.734  32.665    10.2     0.0      99      99    99.0     360   0.157     0.4     0.4  2014 08 24 05 34 28.01
  47.604  32.708    10.6     0.0      99      99    99.0     360   0.118     0.3     0.4  2014 08 24 05 50 30.94
  47.570  32.685    10.9     0.0      99      99    99.0     360   0.137     0.3     0.5  2014 08 24 06 07 57.00
  47.572  32.719    10.5     0.0      99      99    99.0     360   0.081     0.3     0.4  2014 08 24 06 27 54.96
  47.592  32.710     9.8     0.0      99      99    99.0     360   0.134     0.3     0.3  2014 08 24 07 14 55.95
  47.586  32.715     8.9     0.0      99      99    99.0     360   0.074     0.3     0.4  2014 08 24 07 14 55.96
  47.393  32.711    14.4     0.0      99      99    99.0     360   0.132     0.5     0.6  2014 08 24 09 18 07.16
  47.498  32.759    11.8     0.0      99      99    99.0     360   0.102     0.4     0.7  2014 08 24 10 40 09.24
  47.579  32.805     7.4     0.0      99      99    99.0     360   0.129     0.4     0.4  2014 08 24 10 43 47.03
  47.568  32.742     9.0     0.0      99      99    99.0     360   0.080     0.3     0.3  2014 08 24 10 49 28.01
  47.732  32.680    10.7     0.0      99      99    99.0     360   0.154     0.5     0.3  2014 08 24 10 56 51.99
  47.801  32.714    11.8     0.0      99      99    99.0     360   0.148     0.6     0.4  2014 08 24 11 18 26.94
  47.781  32.686    10.2     0.0      99      99    99.0     360   0.148     0.5     0.4  2014 08 24 11 26 01.99
  47.836  32.686    12.3     0.0      99      99    99.0     360   0.135     0.8     0.5  2014 08 24 11 53 28.94
  47.611  32.753     9.2     0.0      99      99    99.0     360   0.112     0.3     0.3  2014 08 24 12 08 08.86
  47.477  32.746     8.5     0.0      99      99    99.0     360   0.138     0.4     0.6  2014 08 24 12 47 59.96
  47.573  32.784     7.8     0.0      99      99    99.0     360   0.149     0.4     0.4  2014 08 24 13 53 19.05
  47.662  32.660    11.3     0.0      99      99    99.0     360   0.127     0.5     0.5  2014 08 24 14 01 00.95
  47.422  32.710    13.7     0.0      99      99    99.0     360   0.087     0.5     0.4  2014 08 24 14 46 45.06
  47.694  32.726    10.1     0.0      99      99    99.0     360   0.130     0.4     0.4  2014 08 24 15 14 13.91
  47.753  32.640    11.8     0.0      99      99    99.0     360   0.126     0.5     0.4  2014 08 24 16 48 27.92
  47.816  32.690    10.3     0.0      99      99    99.0     360   0.200     0.8     0.5  2014 08 24 16 59 33.96
  47.592  32.691    10.7     0.0      99      99    99.0     360   0.090     0.3     0.4  2014 08 24 17 13 39.20
  47.543  32.710    12.9     0.0      99      99    99.0     360   0.103     0.4     0.5  2014 08 24 17 18 41.07
  47.597  32.669    12.3     0.0      99      99    99.0     360   0.130     0.4     0.4  2014 08 24 18 28 52.97
  47.672  32.710     9.4     0.0      99      99    99.0     360   0.101     0.6     0.5  2014 08 24 18 43 12.03
  47.748  32.696    11.1     0.0      99      99    99.0     360   0.098     0.5     0.3  2014 08 24 18 47 09.00
  47.646  32.736    10.0     0.0      99      99    99.0     360   0.161     0.4     0.3  2014 08 24 19 03 53.06
  47.821  32.674    12.1     0.0      99      99    99.0     360   0.128     0.6     0.5  2014 08 24 19 11 07.83
  47.477  32.759    10.8     0.0      99      99    99.0     360   0.136     0.4     0.4  2014 08 24 19 18 32.11
  47.784  32.673     9.2     0.0      99      99    99.0     360   0.215     0.7     0.5  2014 08 24 20 12 36.79
  47.823  32.700    11.5     0.0      99      99    99.0     360   0.084     0.5     0.4  2014 08 24 20 15 38.89
